model,task,feature_set,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
ExtraTrees,binary,A5_CMG_GraphMemory,600000,200000,84,2,0.997565,0.997282484898968,0.9978016814894708,0.997282484898968,0.9975362064055118,0.9975752178541476,0.997565,0.9975643647590504,0.9950840309400382,0.9982919817105568,0.9977840497672994,0.022180040260476108,23.006854100036435,0.6729316000128165,0.0033646580000640824
HistGradientBoosting,binary,A6_Full_CAVALRY_AI,600000,200000,93,2,0.99754,0.9972545294487734,0.9977792660484265,0.9972545294487734,0.9975108971685,0.9975504329867325,0.99754,0.9975393513564792,0.9950336571358099,0.999202818324904,0.9991850210158337,0.013477847974862968,16.231346299988218,0.5447105999919586,0.0027235529999597927
RandomForest,binary,A5_CMG_GraphMemory,600000,200000,84,2,0.997525,0.9972377561786567,0.9977658177524651,0.9972377561786567,0.9974957114918725,0.9975355631373741,0.997525,0.9975243432462693,0.9950034338064768,0.9985811311524443,0.9981112312795982,0.02401734948539339,31.87291539995931,0.512465699983295,0.0025623284999164754
LogisticRegression,binary,A6b_Full_CAVALRY_AI_SelectKBest_35,600000,200000,35,2,0.9256,0.9302951096696751,0.925487807555915,0.9302951096696751,0.9253828997859637,0.930979004402523,0.9256,0.9258084065458435,0.8557694147733536,0.9608566590509777,0.9713552962612141,0.26620769515846415,626.7258866999764,0.12228870001854375,0.0006114435000927188
GaussianNB,binary,A5_CMG_GraphMemory,600000,200000,84,2,0.691985,0.7184177620196519,0.7720100981062601,0.7184177620196519,0.682359834143473,0.7906503549458702,0.691985,0.6765142357844207,0.48749086914573186,0.8649832531916387,0.8700340194926248,3.1319444939169956,6.226876400003675,0.4798098999890499,0.002399049499945249
