feature_set,task,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
A6_Full_CAVALRY_AI,multiclass,RandomForest,600000,200000,93,12,0.98952,0.8642075775945854,0.8914877249673974,0.8642075775945854,0.8751534228979416,0.9886843143971368,0.98952,0.9889905025775367,0.9840027945377103,0.9835294867616842,0.8908602873348649,0.04643485473620133,48.85826049995376,1.7883827000041492,0.008941913500020746
A4_RWAR_RiskRouting,multiclass,RandomForest,600000,200000,87,12,0.989525,0.8623000069735459,0.8899046467564928,0.8623000069735459,0.8733009808711326,0.9885894299525742,0.989525,0.9889443626623408,0.9840091016917581,0.9827130083324759,0.8911500133973149,0.04812026473519545,48.24864470004104,1.8434874000377022,0.00921743700018851
A6b_Full_CAVALRY_AI_SelectKBest_35,multiclass,RandomForest,600000,200000,35,12,0.9896,0.8639156713237378,0.8858789102985675,0.8639156713237378,0.8729936339495316,0.9886662388362234,0.9896,0.9890260353246905,0.9841239396725482,0.9781047652364828,0.8907200826512156,0.05573935849288458,39.38063530001091,1.4814058000338264,0.007407029000169132
A5_CMG_GraphMemory,multiclass,RandomForest,600000,200000,84,12,0.982795,0.8435020831462072,0.8643107526645775,0.8435020831462072,0.8521318336721566,0.9824589624551089,0.982795,0.9825690128635116,0.9737385819222227,0.981100904076726,0.8627122368225754,0.058546888127580105,44.86876109999139,1.7617843999760225,0.008808921999880112
A3_AllNumeric_NoCMG_NoRWAR,multiclass,HistGradientBoosting,600000,200000,78,12,0.98857,0.8566150242837346,0.8574675017606991,0.8566150242837346,0.8515560683786063,0.9868954504862308,0.98857,0.9875214783673467,0.9825442650869766,0.9760073098595418,0.855608911869175,0.11029118918206719,14.04683990002377,0.524364200013224,0.00262182100006612
A2_Core_PortProtocol_Temporal,multiclass,HistGradientBoosting,600000,200000,36,12,0.978425,0.8139392241541779,0.8240947571856916,0.8139392241541779,0.8175297991762055,0.9766539928490454,0.978425,0.9774600729676179,0.9670450684366781,0.9705998232038299,0.8261420923145665,0.0911240772558492,12.42950489994837,0.658280800038483,0.003291404000192415
A1_Core_PortProtocol,multiclass,HistGradientBoosting,600000,200000,14,12,0.97539,0.8037799024665692,0.7949721033228334,0.8037799024665692,0.7956721701458621,0.9735859043993852,0.97539,0.9743886554905049,0.9624021242553551,0.9779946078562548,0.8109273267411178,0.1183463439670932,9.099747199972626,0.532105699996464,0.0026605284999823195
A0_CoreFlow,multiclass,HistGradientBoosting,600000,200000,12,12,0.95275,0.748084302576534,0.752262995625092,0.748084302576534,0.7424618166019927,0.9482826062448979,0.95275,0.949148250823555,0.927424211528714,0.9780115608902621,0.7457111911221959,0.18241324654020188,12.746729400008917,0.8675967999733984,0.004337983999866992
A7_TCPFlagsOnly,multiclass,HistGradientBoosting,600000,200000,12,12,0.581005,0.15326022096450465,0.08743683221989579,0.15326022096450465,0.10773865228651706,0.4170165842030939,0.581005,0.47743079980871994,0.30946762509573644,0.8165838281436039,0.17141707767692235,1.038513340848902,48.92618509999011,4.604888800007757,0.023024444000038783
