model,task,feature_set,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
RandomForest,multiclass,A6_Full_CAVALRY_AI,600000,200000,93,12,0.98952,0.8642075775945854,0.8914877249673974,0.8642075775945854,0.8751534228979416,0.9886843143971368,0.98952,0.9889905025775367,0.9840027945377103,0.9835294867616842,0.8908602873348649,0.04643485473620133,48.85826049995376,1.7883827000041492,0.008941913500020746
HistGradientBoosting,multiclass,A3_AllNumeric_NoCMG_NoRWAR,600000,200000,78,12,0.98857,0.8566150242837346,0.8574675017606991,0.8566150242837346,0.8515560683786063,0.9868954504862308,0.98857,0.9875214783673467,0.9825442650869766,0.9760073098595418,0.855608911869175,0.11029118918206719,14.04683990002377,0.524364200013224,0.00262182100006612
ExtraTrees,multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,600000,200000,35,12,0.979775,0.8947959373641322,0.8246431412845389,0.8947959373641322,0.8343371834943403,0.988560120595559,0.979775,0.9838141676840048,0.9695213178596436,0.9852048348397805,0.881200046258638,0.1032130093650995,20.840195600001607,1.8230021999916062,0.009115010999958031
GaussianNB,multiclass,A5_CMG_GraphMemory,600000,200000,84,12,0.46032,0.688987999663523,0.5609044386953678,0.688987999663523,0.5262282036600455,0.8580024034821526,0.46032,0.43816468445715007,0.49824977081095756,0.9511682889021146,0.5857933697790946,16.659092439515284,9.987741399963852,3.008031200035475,0.015040156000177376
LogisticRegression,multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,600000,200000,35,12,0.21028,0.38067735023466825,0.21885373364987334,0.38067735023466825,0.2157804111148075,0.30925735375276747,0.21028,0.22557141867501673,0.06665669460352457,0.8964979844456004,0.4462701833909167,2.1275147616197128,2709.5235163999605,0.17155590001493692,0.0008577795000746846
